requested_orders,actual_orders,Rs
5,5,0.02099114262637509
10,9,0.02065791062367066
15,13,0.020534213533069622
20,13,0.020534213533069622
25,25,0.02038285814134027
30,29,0.020379546586641564
35,29,0.020379546586641564
40,37,0.02037371149806683
45,45,0.020369965312200096
50,49,0.020319893916833347
55,49,0.020319893916833347
60,57,0.020260721928216634
65,61,0.02026038676789206
70,69,0.02024722726475999
75,69,0.02024722726475999
80,69,0.02024722726475999
85,81,0.020228933222660127
90,89,0.02020878744245058
95,89,0.02020878744245058
100,97,0.020205933303925706
105,101,0.02020397882603437
110,109,0.020203576592071275
115,113,0.02020179928084836
