fmmax_equivalent_terms,s4_num_g,form,r_s_real,r_s_imag,R_s,s_cpu_seconds,r_p_real,r_p_imag,R_p,p_cpu_seconds
9,3,fft,-0.855735,0.284020,0.812949,0.109503,0.723421,0.272733,0.597722,0.015569
25,5,fft,-0.874140,0.226136,0.815259,0.066344,0.814628,-0.112412,0.676256,0.031344
49,7,fft,-0.879054,0.208761,0.816318,0.064034,0.470778,0.674684,0.676831,0.060928
81,9,fft,-0.877959,0.213044,0.816199,0.128358,0.838060,0.101224,0.712591,0.094943
121,11,fft,-0.878654,0.210570,0.816372,0.143430,0.815992,-0.085068,0.673080,0.138290
169,13,fft,-0.879610,0.207059,0.816587,0.198413,0.770199,0.281720,0.672572,0.187932
225,15,fft,-0.879619,0.207059,0.816603,0.264039,0.859455,0.127052,0.754806,0.260853
289,17,fft,-0.879210,0.208574,0.816513,0.450411,0.806455,-0.072720,0.655658,0.383749
361,19,fft,-0.879615,0.207082,0.816606,0.459631,0.745774,0.278057,0.633495,0.457107
441,21,fft,-0.879326,0.208151,0.816541,0.543995,0.862631,0.097665,0.753670,0.546738
529,23,fft,-0.879610,0.207111,0.816610,0.668327,0.833767,-0.009315,0.695254,0.675339
625,25,fft,-0.879600,0.207150,0.816607,0.797234,0.761619,0.226421,0.631330,0.796608
729,27,fft,-0.879593,0.207176,0.816607,0.785034,0.869081,0.128389,0.771785,0.747066
841,29,fft,-0.879588,0.207197,0.816606,0.938781,0.823000,-0.006277,0.677368,0.970466
