requested_orders,actual_orders,Rs
5,5,0.021432625002279763
10,9,0.021072019498396134
15,13,0.02095189923181074
20,21,0.020819793886444123
25,21,0.020819793886444123
30,29,0.020805105489718548
35,37,0.020792527667571278
40,37,0.020792527667571278
45,45,0.020786904300702215
50,45,0.020786904300702215
55,57,0.02066271316726597
60,61,0.020662523425485805
65,69,0.020650190083756625
70,69,0.020650190083756625
75,69,0.020650190083756625
80,81,0.020636031456352007
85,89,0.020621746416918538
90,89,0.020621746416918538
95,97,0.02062031425250935
100,97,0.02062031425250935
