requested_orders,actual_orders,Rs
5,9,0.021072019498396134
10,9,0.021072019498396134
15,9,0.021072019498396134
20,25,0.02081345824410615
25,25,0.02081345824410615
30,25,0.02081345824410615
35,25,0.02081345824410615
40,49,0.020786636406459492
45,49,0.020786636406459492
50,49,0.020786636406459492
55,49,0.020786636406459492
60,49,0.020786636406459492
65,81,0.020647268379181554
70,81,0.020647268379181554
75,81,0.020647268379181554
80,81,0.020647268379181554
85,81,0.020647268379181554
90,81,0.020647268379181554
95,81,0.020647268379181554
100,81,0.020647268379181554
