requested_orders,actual_orders,Rs
5,5,0.020991011292557343
10,9,0.020657547629152326
15,13,0.02053407396535016
20,13,0.02053407396535016
25,25,0.020382639020698787
30,29,0.02037944912084279
35,29,0.02037944912084279
40,37,0.020373613288777338
45,45,0.020369865904721857
50,49,0.020319821303848205
55,49,0.020319821303848205
60,57,0.02026062866373446
65,61,0.0202602933826061
70,69,0.02024712815313761
75,69,0.02024712815313761
80,69,0.02024712815313761
85,81,0.020228861910641018
90,89,0.02020870675954269
95,89,0.02020870675954269
100,97,0.020205850953682953
105,101,0.020203895665591626
110,109,0.02020349331054299
115,113,0.020201741370896798
