backend,m,n,requested_orders,actual_orders,Rs,Rp,Ts,Tp
fmmax,1,1,9,9,0.021072019498395992,0.02107201949839586,0.9789279805016038,0.9789279805016041
s4,1,1,9,9,0.02065791062367066,0.020657910623670495,0.9793420893763294,0.9793420893763298
metarcwa,1,1,9,5,0.02143262517780647,0.02143262517780638,0.9785673670097911,0.9785673670097899
fmmax,2,2,25,21,0.02081979388644413,0.020819793886444247,0.979180206113556,0.979180206113556
s4,2,2,25,25,0.02038285814134027,0.020382858141338396,0.97961714185866,0.9796171418586648
metarcwa,2,2,25,13,0.020951899418850808,0.02095189941885079,0.9790480927212513,0.9790480927212516
fmmax,3,3,49,45,0.020786904300701684,0.020786904300702687,0.9792130956992985,0.9792130956992976
s4,3,3,49,49,0.020319893916833347,0.020319893916832917,0.9796801060831655,0.9796801060831664
metarcwa,3,3,49,29,0.020805105672848264,0.020805105672848025,0.9791948864558,0.9791948864557972
fmmax,4,4,81,81,0.02063603145635083,0.020636031456354956,0.979363968543649,0.9793639685436473
s4,4,4,81,81,0.020228933222660127,0.020228933222666008,0.9797710667773374,0.9797710667773368
metarcwa,4,4,81,49,0.020728770156528898,0.020728770156529505,0.9792712219633778,0.9792712219633752
fmmax,5,5,121,121,0.02060460557737023,0.020604605577387376,0.9793953944226292,0.9793953944226118
s4,5,5,121,121,0.020199176725425864,0.02019917672542024,0.9798008232745697,0.9798008232745661
metarcwa,5,5,121,81,0.020636031639366666,0.020636031639365556,0.979363960472581,0.979363960472582
fmmax,6,6,169,177,0.020553686031253588,0.020553686031259233,0.9794463139687455,0.9794463139687403
s4,6,6,169,169,0.020158238724939787,0.02015823872491487,0.9798417612750601,0.9798417612750036
metarcwa,6,6,169,113,0.020611740345658325,0.02061174034565757,0.9793882517644038,0.9793882517644033
fmmax,7,7,225,221,0.02054427145687792,0.020544271456864112,0.9794557285431229,0.9794557285431382
s4,7,7,225,225,0.020137513557077068,0.020137513557099144,0.9798624864429156,0.9798624864429469
metarcwa,7,7,225,149,0.020580836432844123,0.020580836432848703,0.9794191556737627,0.9794191556737509
fmmax,8,8,289,293,0.020532741362880105,0.020532741362872718,0.9794672586371213,0.9794672586371249
s4,8,8,289,285,0.020132781893611194,0.020132781893636032,0.9798672181063891,0.9798672181063093
metarcwa,8,8,289,197,0.02054975463203092,0.02054975463202667,0.9794502374720292,0.9794502374720335
fmmax,9,9,361,357,0.0205086517084134,0.020508651708382727,0.9794913482915832,0.9794913482916153
s4,9,9,361,357,0.020111040652609918,0.020111040652608252,0.9798889593473916,0.9798889593473019
metarcwa,9,9,361,253,0.02053921130902075,0.020539211309024714,0.979460780794157,0.9794607807941283
fmmax,10,10,441,437,0.020505101803821597,0.02050510180367728,0.9794948981961781,0.979494898196325
s4,10,10,441,441,0.020101691900409877,0.020101691900411396,0.9798983080995822,0.9798983080994956
metarcwa,10,10,441,317,0.02052213191588291,0.020522131915872262,0.9794778601853514,0.9794778601853633
