fmmax_equivalent_terms,s4_num_g,form,r_s_real,r_s_imag,R_s,s_cpu_seconds,r_p_real,r_p_imag,R_p,p_cpu_seconds
9,3,fft,-0.855735,0.284020,0.812949,0.106710,0.723421,0.272733,0.597722,0.018524
25,5,fft,-0.874140,0.226136,0.815259,0.070010,0.814628,-0.112412,0.676256,0.034849
49,7,fft,-0.879054,0.208761,0.816318,0.067661,0.470778,0.674684,0.676831,0.052666
81,9,fft,-0.877959,0.213044,0.816199,0.116658,0.838060,0.101224,0.712591,0.085742
121,11,fft,-0.878654,0.210570,0.816372,0.131428,0.815992,-0.085068,0.673080,0.127426
169,13,fft,-0.879610,0.207059,0.816587,0.187205,0.770199,0.281720,0.672572,0.176690
225,15,fft,-0.879619,0.207059,0.816603,0.252955,0.859455,0.127052,0.754806,0.246061
289,17,fft,-0.879210,0.208574,0.816513,0.410884,0.806455,-0.072720,0.655658,0.391874
361,19,fft,-0.879615,0.207082,0.816606,0.460204,0.745774,0.278057,0.633495,0.458907
441,21,fft,-0.879326,0.208151,0.816541,0.551264,0.862631,0.097665,0.753670,0.559726
529,23,fft,-0.879610,0.207111,0.816610,0.680898,0.833767,-0.009315,0.695254,0.670863
625,25,fft,-0.879600,0.207150,0.816607,0.799319,0.761619,0.226421,0.631330,0.797315
729,27,fft,-0.879593,0.207176,0.816607,0.857549,0.869081,0.128389,0.771785,0.774793
841,29,fft,-0.879588,0.207197,0.816606,0.935956,0.823000,-0.006277,0.677368,0.966133
